neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
Brooklyn,Greenpoint,40.72179,-73.9447,Private room,61,1,30,2019-06-11,2.08,2,1
Manhattan,Upper East Side,40.77928,-73.94862,Entire home/apt,140,2,6,2017-06-30,0.17,1,0
Manhattan,East Harlem,40.79477,-73.95046,Private room,100,3,67,2019-05-28,0.76,3,345
Brooklyn,Bushwick,40.7072,-73.92245,Entire home/apt,275,31,17,2015-10-18,0.2,1,364
Queens,Forest Hills,40.71357,-73.85138,Private room,59,60,4,2018-08-03,0.33,4,0
Brooklyn,Kensington,40.64028,-73.97396,Private room,45,4,5,2015-09-15,0.1,2,0
Brooklyn,Clinton Hill,40.68933,-73.96879,Entire home/apt,149,29,24,2019-04-23,1.42,1,3
Brooklyn,Bushwick,40.69382,-73.90925,Shared room,28,1,117,2019-05-23,4.56,4,118
Brooklyn,Crown Heights,40.66841,-73.93621,Entire home/apt,85,25,1,2016-04-04,0.03,1,0
Brooklyn,Bedford-Stuyvesant,40.68736,-73.92369,Entire home/apt,90,4,8,2019-03-25,0.19,4,0
Brooklyn,Williamsburg,40.7079,-73.94608,Private room,75,2,2,2019-05-06,0.85,1,188
Manhattan,Upper East Side,40.77126,-73.95671,Entire home/apt,116,30,1,2014-06-14,0.02,29,335
Queens,Flushing,40.75556,-73.81205,Private room,47,2,79,2019-06-18,3.15,10,346
Brooklyn,Bedford-Stuyvesant,40.68062,-73.91251,Private room,80,5,12,2019-07-02,1.28,3,354
Queens,Jackson Heights,40.75159,-73.89437,Entire home/apt,199,2,39,2018-11-26,2.48,2,0
Brooklyn,Bedford-Stuyvesant,40.69524,-73.93234,Private room,54,4,2,2019-06-24,2.0,3,330
Manhattan,Midtown,40.75346,-73.96872,Private room,90,1,2,2017-12-03,0.1,3,217
Manhattan,Chelsea,40.7453,-74.00002,Entire home/apt,180,3,24,2019-06-08,1.12,1,14
Manhattan,Nolita,40.72095,-73.99756,Entire home/apt,1200,1,1,2019-02-03,0.19,1,27
Manhattan,Harlem,40.80964,-73.94321,Entire home/apt,102,2,12,2019-04-07,0.5,1,0
Manhattan,Kips Bay,40.74402,-73.97477,Entire home/apt,475,4,2,2019-07-01,2.0,1,157
Manhattan,East Harlem,40.79241,-73.94058,Entire home/apt,135,4,3,2018-06-19,0.12,1,0
Brooklyn,Greenpoint,40.72038,-73.94233,Entire home/apt,250,4,4,2017-10-31,0.12,1,0
Manhattan,Upper East Side,40.78001,-73.9518,Private room,99,1,38,2019-06-30,6.44,4,142
Brooklyn,Gowanus,40.66811,-73.99451,Entire home/apt,121,5,1,2019-04-04,0.31,1,45
Queens,Woodside,40.75542,-73.9021,Private room,70,4,34,2019-06-28,4.25,1,34
Manhattan,Morningside Heights,40.80699,-73.95937,Entire home/apt,130,4,4,2015-09-26,0.07,1,0
Manhattan,Upper West Side,40.79804,-73.96135,Entire home/apt,140,30,19,2019-03-03,0.47,12,256
Brooklyn,Bedford-Stuyvesant,40.69318,-73.95418,Private room,50,1,24,2019-04-25,1.3,1,354
Manhattan,Lower East Side,40.72087,-73.99022,Entire home/apt,153,31,59,2019-06-06,0.63,1,27
Brooklyn,Bedford-Stuyvesant,40.678,-73.93974,Private room,75,1,25,2019-07-07,1.93,1,170
Manhattan,Harlem,40.80914,-73.94363,Private room,89,1,79,2019-06-19,2.24,3,0
Manhattan,Upper East Side,40.77163,-73.94897,Private room,75,14,6,2019-06-22,0.41,2,14
Brooklyn,Bushwick,40.70234,-73.91849,Private room,84,2,138,2019-07-02,1.69,1,225
Manhattan,Midtown,40.75794,-73.96959,Entire home/apt,141,8,12,2018-02-02,0.44,1,0
Brooklyn,Bedford-Stuyvesant,40.68355,-73.94129,Entire home/apt,180,2,1,2015-09-26,0.02,1,0
Manhattan,West Village,40.73461,-74.00594,Shared room,350,2,13,2015-10-19,0.17,1,0
Queens,Astoria,40.75837,-73.91387,Entire home/apt,100,30,61,2019-03-28,1.39,3,224
Brooklyn,Bushwick,40.70451,-73.92685,Entire home/apt,145,3,99,2019-07-05,1.97,1,327
Manhattan,SoHo,40.72756,-74.00239,Entire home/apt,230,2,27,2019-07-06,1.4,1,101
Manhattan,Hell's Kitchen,40.76438,-73.9886,Entire home/apt,350,1,96,2019-07-06,3.63,1,253
Brooklyn,Cobble Hill,40.68818,-73.99483,Entire home/apt,125,4,3,2017-05-25,0.11,1,0
Brooklyn,Bedford-Stuyvesant,40.68878,-73.92857,Shared room,30,1,21,2018-09-30,1.6,2,0
Queens,St. Albans,40.69064,-73.76009,Private room,60,2,15,2019-06-17,2.27,1,356
Brooklyn,Windsor Terrace,40.65516,-73.97633,Entire home/apt,184,5,22,2018-08-27,0.37,1,0
Brooklyn,Greenpoint,40.72561,-73.94745,Private room,52,5,7,2019-06-20,0.18,3,342
Brooklyn,Williamsburg,40.71608,-73.95967,Private room,60,3,1,2015-10-21,0.02,1,0
Manhattan,Harlem,40.80801,-73.9486,Private room,180,3,18,2019-05-21,0.39,1,362
Manhattan,Morningside Heights,40.81097,-73.96001,Private room,110,3,68,2019-06-24,1.88,6,128
